Species,Common name,Adult weight (g),Male maturity (days),Gestation/Incubation (days),Litter/Clutch size,Maximum longevity (yrs)
arundinaceus,Great reed-warbler,30,365,,,10.1
dumetorum,Blyth's reed-warbler,11.2,,,,7.8
melanopogon,Moustached warbler,10.9,365,,,11.2
palustris,Marsh warbler,11.5,365,,,9.8
schoenobaenus,Sedge warbler,11.8,365,,,11.8
scirpaceus,Eurasian reed-warbler,12.3,365,,,14
sechellensis,Seychelles warbler,15.9,,,,17
stentoreus,Indian great reed warbler,24.2,,,,10.6
icterina,Icterine warbler,13.2,365,,,10.8
polyglotta,Melodious warbler,11,365,,,8.9
pallida,Olivaceous warbler,9,365,,,7.9
caudatus,Long-tailed tit,8.6,365,,,11.1
minimus,Bushtit,5.3,365,12,6,9.1
arvensis,Eurasian skylark,37.5,365,11,3,10.1
alpestris,Horned lark,33.5,365,11,43,8
cristata,Crested lark,42.9,365,,,11.6
arborea,Wood lark,26.9,365,,,6
cedrorum,Cedar waxwing,30,365,14,4,8.2
garrulus,Bohemian waxwing,54.5,365,14,5,13.5
lapponicus,Lapland longspur,28.35,,12,5,6
pictus,Smith's longspur,26.65,365,12,4,5
hyperboreus,Mckay's bunting,42,,,4,4.8
nivalis,Snow bunting,41.8,365,12,5,9.6
cardinalis,Northern cardinal,42.6,365,12,3,28.5
parellina,Blue bunting,15.7,,,,10.8
amoena,Lazuli bunting,15.15,365,12,4,9.9
caerulea,Blue grosbeak,28.4,365,11,4,10.2
ciris,Painted bunting,14.75,365,11,4,12
cyanea,Indigo bunting,15,365,12,3.5,11
ludovicianus,Rose-breasted grosbeak,47.325,365,12,4,24
melanocephalus,Black-headed grosbeak,42,365,12,3,25
ludoviciana,Western tanager,30,365,13,4,15.3
olivacea,Scarlet tanager,29,365,13,4,11.9
rubra,Summer tanager,40,365,12,4,7.9
americana,Dickcissel,33,365,12,4,4.8
familiaris,Eurasian treecreeper,9.1,365,,,8.2
cetti,Cetti's warbler,13.3,365,,,9.3
cinclus,White-throated dipper,61.7,365,,,10.6
mexicanus,American dipper,50.2,365,,4,8.1
flaveola,Bananaquit,10.1,,,,8.6
melanoramphos,White-winged chough,364,,,,16.3
cinerea,Apostlebird,132,,,,25
californica,Western scrub jay,88.7,,18,4,15.8
coerulescens,Scrub jay,78.7,365,17,4,15
insularis,Island scrub jay,114,365,18,4,15.3
ultramarina,Mexican jay,130,,18,4,25
monedula,Eurasian crow and Eurasian jackdaw,246,730,,,20.3
brachyrhynchos,American crow,384.8,730,18,5,20
caurinus,Northwestern crow,294,730,18,4,16.7
corax,Common raven,1041.2,1095,19,5,69
cornix,Hooded crow,,,,,16.8
corone,Carrion crow,472.7,1095,,,19.2
coronoides,Australian raven,645,,,,21.8
cryptoleucus,Chihuahuan raven,534,,21,5,21.8
frugilegus,Rook,453.5,730,,,22.9
hawaiiensis,Hawaiian crow,520,1460,20,3,25
ossifragus,Fish crow,418,730,17,4,14.5
cristata,Blue jay,80.8,365,17,4,26.2
stelleri,Steller's jay,99.1,365,16,4,16.1
caeruleus,Azure jay,272,,,,36
glandarius,Eurasian jay,159.7,365,,,17.9
cyanocephalus,Pinyon jay,105,365,17,4,14.6
caryocatactes,Spotted nutcracker,183,365,,,16.2
columbiana,Clark's nutcracker,130,365,18,2.5,17.4
canadensis,Gray jay,70.3,365,17,3,19.2
infaustus,Siberian jay,84.4,,,,17.9
hudsonia,Black-billed magpie,177,730,18,6.5,20
nuttalli,Yellow-billed magpie,159,365,18,6.5,10
pica,Eurasian magpie,178,730,21,,21.7
graculus,Alpine chough,211.5,1095,,,24.4
pyrrhocorax,Red-billed chough,277.8,730,,,20.3
rupicola,Guianan cock-of-the-rock,195,,,,7
ruficeps,Rufous-crowned sparrow,18.8,365,12,3,5.1
caudacutus,Saltmarsh sharp-tailed sparrow,16.5,365,11,4,10
henslowii,Henslow's sparrow,12.5,,,,6.5
leconteii,Le Conte's sparrow,,,,,4.1
maritimus,Seaside sparrow,20,365,12,4,9
nelsoni,Nelson's sharp-tailed sparrow,15.2,,,,7.1
savannarum,Grasshopper sparrow,17.6,365,11,4,9.1
bilineata,Black-throated sparrow,13.5,,12,3,6
rufivirgatus,Olive sparrow,22.4,,,3.5,8.2
belli,Sage sparrow,17.1,,,,9.1
melanocorys,Lark bunting,32.6,365,12,5,4.8
grammacus,Lark sparrow,27.1,,12,4,7.8
aureola,Yellow-breasted bunting,19.6,,,,7
calandra,Corn bunting,48.8,365,,,10.6
cirlus,Cirl bunting,25.6,365,,,6.1
citrinella,Yellowhammer,29.7,365,,,13.2
hortulana,Ortolan bunting,19.9,,,,6.8
melanocephala,Black-headed bunting,28.4,,,,11
schoeniclus,Reed bunting,18.4,365,,,12.2
hyemalis,Dark-eyed junco,19,365,11,4,11.3
phaeonotus,Yellow-eyed junco,20,365,13,2,6.6
georgiana,Swamp sparrow,16.1,365,13,4,7.8
lincolnii,Lincoln's sparrow,17.35,365,11,4,7.6
melodia,Song sparrow,22.7,365,12,4,11.3
aberti,Abert's towhee,46,365,14,3,8.6
crissalis,California towhee,47,,13,,12.8
fusca,Canyon towhee,44.4,365,11,3,12.8
sandwichensis,Savannah sparrow,20.2,365,12,4,18
iliaca,Fox sparrow,35.5,,13,4,10.3
aestivalis,Bachman's sparrow,19.6,365,13,4,3.9
chlorurus,Green-tailed towhee,28.88,365,12,4,7.7
erythrophthalmus,Eastern towhee,39.4,365,12,4,12.3
maculatus,Spotted towhee,40.4,730,,,11
gramineus,Vesper sparrow,25.7,365,12,4,7.9
breweri,Brewer's sparrow,11,365,11,3,6.2
pallida,Clay-colored sparrow,11.45,335,12,4,6.9
passerina,Chipping sparrow,12.2,365,12,4,11.8
pusilla,Field sparrow,12.5,365,12,4,10.3
arborea,American tree sparrow,16.6,365,12,4,10.8
albicollis,White-throated sparrow,21.1,365,13,4,14.9
atricapilla,Golden-crowned sparrow,31.55,365,12,4,10.5
leucophrys,White-crowned sparrow,25.82,365,12,4,13.3
querula,Harris's sparrow,33.1,365,13,4,11.7
gouldiae,Gouldian finch,12,,13,,6
striata,White-rumped munia,12.3,,,,10
guttata,Zebra finch,12,60,,,12
flammea,Common redpoll,14.2,365,10,5,12.2
hornemanni,Hoary redpoll,19.25,365,12,4,6.8
carduelis,European goldfinch,16,365,,,27
erythrinus,Common rosefinch,24,365,,,9
chloris,European greenfinch,26,365,,,13.6
stejnegeri,Kauai amakihi,16.65,,14,3,9
virens,Hawaii amakihi,13.35,,14,2.5,12
coccothraustes,Hawfinch,56.6,365,,,12.6
coelebs,Chaffinch,20.7,365,,,29
montifringilla,Brambling,23.2,365,,,14.8
cassinii,Cassin's finch,27.5,365,13,4,7
mexicanus,House finch,21.4,,14,4,11.6
purpureus,Purple finch,25.42,365,13,4,14
wilsoni,Akiapolaau,28,365,,1,13
vespertina,Evening grosbeak,54.9,,13,3,17
sanguinea,Apapane,13.4,,13,3,11
atrata,Black rosy-finch,24,365,13,5,8.6
australis,Brown-capped rosy finch,26.6,,,,5.9
tephrocotis,Gray-crowned rosy-finch,35.7,365,14,4,6.6
cannabina,Eurasian linnet,19.5,365,,,9.4
flavirostris,Twite,15.4,365,,,6.1
curvirostra,Red crossbill,39.5,365,13,3,16.1
leucoptera,White-winged crossbill,28.9,,13,3,4
bailleui,Palila,37.85,730,16,2,13
coccineus,Akepa,10.4,730,15,1.5,10
parva,Anianiau,10,365,14,3,9.5
phaeosoma,Poo-uli,25.5,,,,9.2
dolei,Akohekohe or crested honeycreeper,26.2,730,17,1.5,9.2
enucleator,Pine grosbeak,65.3,365,13,4,9.8
pyrrhula,Eurasian bullfinch,24.4,365,,,17.5
canaria,House canary,24.3,,,,24
pinus,Pine siskin,12.7,,13,3,11
psaltria,Lesser goldfinch,9.23,,12,4,5.7
spinus,Eurasian siskin,13.2,365,,,13.5
tristis,American goldfinch,12.8,,13,5,13
cantans,Laysan finch,33.3,,16,3,12
ultima,Nihoa finch,24.5,,15,3,12
coccinea,Iiwi,18.3,,,,8.8
daurica,Red-rumped swallow,22.2,,,,9
urbicum,Common house-martin and northern house-martin,14.5,365,,,15
rustica,Barn swallow,18.3,365,15,6,16
fulva,Cave swallow,20.15,,,4,12.2
pyrrhonota,Cliff swallow,23.24,365,14,4,11.8
subis,Purple martin,45,365,15,5,13.8
riparia,Bank swallow,12.7,365,15,4,10
ruficollis,Southern rough-winged swallow,16,,14,6,5.9
serripennis,Northern rough-winged swallow,15.7,365,,,5.9
bicolor,Tree swallow,19,365,14,5,12.1
thalassina,Violet-green swallow,14.2,,14,4,9.1
phoeniceus,Red-winged blackbird,56.7,365,12,3.5,20
tricolor,Tricolored blackbird,56.5,,11,3,13.2
xanthomus,Yellow-shouldered blackbird,38.4,,,,12.6
oryzivorus,Bobolink,35,365,13,5,9
carolinus,Rusty blackbird,60.8,365,14,4.5,8.8
cyanocephalus,Brewer's blackbird,64.55,365,13,5,12.5
bullockii,Bullock's oriole,36.62,365,11,5,8.9
cucullatus,Hooded oriole,24.3,,13,4,6
galbula,Baltimore oriole,32.9,,13,4,14
leucopteryx,Jamaican oriole,36.9,,,,12.2
parisorum,Scott's oriole,36.2,,14,3,6.4
pectoralis,Spot-breasted oriole,46.5,,,3,11.6
spurius,Orchard oriole,21,,13,5,17.7
ater,Brown-headed cowbird,38.1,365,11,,16.9
major,Boat-tailed grackle,152.6,,13,4,13.9
mexicanus,Great-tailed grackle,168.7,730,13,3,12.5
quiscula,Common grackle,111,,14,5,23.1
magna,Eastern meadowlark,94.71,365,13,5,12.6
neglecta,Western meadowlark,85,365,14,3,10
xanthocephalus,Yellow-headed blackbird,75.75,,12,4,18
collurio,Red-backed shrike,28.4,365,,,10.1
excubitor,Northern shrike,63.5,335,,5,12
ludovicianus,Loggerhead shrike,46,365,11,5,12.5
senator,Woodchat shrike,36,365,,,5.7
lutea,Red-billed leothrix,21.5,,12,,15
squamiceps,Arabian babbler,73.5,,,,13.5
striata,Bengal jungle babbler,66,,,,16.5
fluviatilis,River warbler,16.1,,,,6.9
luscinioides,Savi's warbler,13.9,365,,,9.8
naevia,Common grasshopper-warbler,13.3,365,,,5.9
cyaneus,Superb fairywren,10.4,365,,,10.4
carolinensis,Gray catbird,34.5,365,13,4,17.9
fuscatus,Pearly-eyed thrasher,98.6,,,,10.6
polyglottos,Northern mockingbird,53,365,12,4,20
bendirei,Bendire's thrasher,62.2,,,3,9.5
crissale,Crissal thrasher,62.7,274,14,2.5,4.8
curvirostre,Curve-billed thrasher,80.65,365,13,3,10.8
lecontei,Le conte's thrasher,61.82,312,16,3,5.7
longirostre,Long-billed thrasher,67.65,,14,4,7.8
redivivum,California thrasher,84.4,228,14,3,6.9
rufum,Brown thrasher,67,274,13,4,12.8
sandwichensis,Elepaio,15,365,,2,17.8
cervinus,Red-throated pipit,20.9,,,,4.5
petrosus,Rock pipit,22.4,365,,,10.9
pratensis,Meadow pipit,18.4,365,,,8.8
rubescens,American pipit,20.8,365,14,5,5.1
spinoletta,Water pipit,21.2,,14,4,8.8
trivialis,Tree pipit,23.4,365,,,8.8
alba,White wagtail,24.1,365,13,5,13.7
cinerea,Grey wagtail,17.2,365,,,8
flava,Yellow wagtail,17.7,365,11,5,8.8
malabaricus,White-rumped shama,29.35,,14,,7
rubecula,European robin,17.3,365,,,19.3
galactotes,Rufous-tailed scrub-robin,20.3,,,,7
albicollis,Collared flycatcher,12.7,365,,,9.8
hypoleuca,European pied flycatcher,13.9,365,,,15
luscinia,Thrush nightingale,23.8,365,,,8.9
megarhynchos,Common nightingale,19.7,365,,,10.9
svecica,Bluethroat,17.3,365,13,6,11.4
striata,Spotted flycatcher,15.9,365,,,11.8
hispanica,Black-eared wheatear,15.1,,,,4.9
oenanthe,Northern wheatear,25,365,14,,10.1
ochruros,Black redstart,16.5,365,,,10.2
phoenicurus,Common redstart,14.6,365,,,10.2
rubetra,Whinchat,16.6,365,,,6.9
torquatus,Common stonechat and stonechat,10.3,365,,,8.8
asiaticus,Purple sunbird,8.1,,,,22
oriolus,Eurasian golden-oriole,79,365,,,14.8
xanthornus,Black-hooded oriole,56.3,,,,15.5
viridis,Green figbird (hang-nest),121.5,,,,18
biarmicus,Bearded parrotbill,13.8,365,,,7.1
apoda,Greater bird-of-paradise,172,,,,12.1
bicolor,Tufted titmouse,21,365,13,6,13.3
inornatus,Plain titmouse or oak titmouse,15.9,365,15,6,9
wollweberi,Bridled titmouse,10.4,365,13,6,6.6
caeruleus,Blue tit,10.3,365,,,14.6
cristatus,Crested tit,11.1,365,,,11.6
major,Great tit,17.9,365,,,15.4
ater,Coal tit,9.2,365,,,9.5
atricapillus,Black-capped chickadee,10.4,180,12,7,12.4
carolinensis,Carolina chickadee,10.25,365,13,6,10.9
cinctus,Siberian tit or gray-headed chickadee,12.5,365,15,8,9
gambeli,Mountain chickadee,11.5,365,14,7,10.1
hudsonicus,Boreal chickadee,10,365,15,6,7
montanus,Willow tit,11.1,,,,11.3
palustris,Marsh tit,11.2,365,,,11.9
rufescens,Chestnut-backed chickadee,9.8,365,13,6.5,9.5
sclateri,Mexican chickadee,11,365,,6,10.1
canadensis,Canada warbler,10,365,12,4,8
pusilla,Wilson's warbler,7,365,10,5,8.9
rubrifrons,Red-faced warbler,9.8,365,13,4,3
formosa,Kentucky warbler,14,,12,4,6.9
philadelphia,Mourning warbler,10,,12,4,7.9
tolmiei,Macgillivray's warbler,10.4,,,,9
trichas,Common yellowthroat,9.5,365,12,4,11.5
vermivorum,Worm-eating warbler,12.5,365,13,5,8.1
virens,Yellow-breasted chat,26,365,11,5,8.9
celata,Orange-crowned warbler,9.2,365,12,4,8.6
luciae,Lucy's warbler,6.6,,11,4.5,5.8
peregrina,Tennessee warbler,8.5,365,11,6,6.4
ruficapilla,Nashville warbler,7.5,365,11,4,10.2
virginiae,Virginia's warbler,8.2,,,,6.2
swainsonii,Swainson's warbler,13.5,365,14,3,9.9
varia,Black-and-white warbler,10.9,365,11,5,12.2
pictus,Painted redstart,9.75,304,13,4,6.6
motacilla,Louisiana waterthrush,22.5,365,13,5,11.9
noveboracensis,Northern waterthrush,16.3,365,12,4,8.9
citrea,Prothonotary warbler,14.3,365,13,5,8.1
aurocapilla,Ovenbird,18.8,365,12,4,11
adelaidae,Adelaide's warbler,7,,,,10.6
americana,Northern parula,7.9,365,13,4,7
caerulescens,Black-throated blue warbler,10.2,365,13,4,10
castanea,Bay-breasted warbler,11.5,,12,5,4.9
cerulea,Cerulean warbler,8.625,365,12,4,6
chrysoparia,Golden-cheeked warbler,10.2,365,,,11
citrina,Hooded warbler,10.6,319,12,4,8.2
coronata,Yellow-rumped (myrtle) warbler,12,,12,4,10
discolor,Prairie warbler,7,,12,4,10.3
dominica,Yellow-throated warbler,9.7,365,12,4,6.1
fusca,Blackburnian warbler,9,,11,4,8.2
kirtlandii,Kirtland's warbler,15.5,365,14,5,9
magnolia,Magnolia warbler,7.5,365,12,4,8
occidentalis,Hermit warbler,10,365,,4,9.1
palmarum,Western palm warbler,10.3,,12,4,6.6
pensylvanica,Chestnut-sided warbler,9,365,12,4,6.9
petechia,Yellow warbler,9.8,365,12,3,11
pinus,Pine warbler,11.8,365,13,4,10.2
ruticilla,American redstart,8.5,365,12,4,10.1
striata,Blackpoll warbler,15,365,12,5,8.1
townsendi,Townsend's warbler,8.85,,12,4,10.7
virens,Black-throated green warbler,9,365,12,4,6
chrysoptera,Golden-winged warbler,8.8,319,10,5,7.9
cyanoptera,Blue-winged warbler,8.9,365,11,5,9
domesticus,House sparrow,25.3,365,11,5,23
hispaniolensis,Spanish sparrow,24.2,365,,,11.2
montanus,Eurasian tree sparrow,20.5,319,13,5,13.1
petronia,Rock sparrow,30.2,,,,7
collybita,Common chiffchaff and Eurasian chiffchaff,8.3,365,,,8
sibillatrix,Wood warbler,9.2,365,,,10.2
trochilus,Willow warbler,8.7,365,,,11.8
albirostris,African ox birds,61.9,,,,20
cucullatus,Village weaver,36.2,,,,24
quelea,Red-billed quelea,17.5,730,,,10
caerulea,Blue-grey gnatcatcher,6.5,319,13,4,4.2
californica,California gnatcatcher,6,365,14,4,8
modularis,Hedge sparrow,20.2,365,,,20.8
jocosus,Red-whiskered bulbul,27.7,,12,2.5,11.1
xanthopygos,White-spectacled bulbul,38.1,,,,8.8
calendula,Ruby-crowned kinglet,6.75,365,12,8,5.6
regulus,Goldcrest,5.6,365,,,7
satrapa,Golden-crowned kinglet,5.5,365,14,8,6.3
flaviceps,Verdin,6.8,365,14,4,5.6
pendulinus,Eurasian penduline-tit,9.3,365,,,7
canadensis,Red-breasted nuthatch,11.2,365,12,5,7.5
carolinensis,White-breasted nuthatch,20.5,365,12,8,9.8
europaea,Wood nuthatch or Eurasian nuthatch,20.4,365,,,12.9
pusilla,Brown-headed nuthatch,10.8,365,14,5,5.8
pygmaea,Pygmy nuthatch,10.7,365,15,7,8.2
cristatellus,Crested myna,116.5,,15,4,13
caudatus,Long-tailed glossy starling,121,,,,17.8
hildebrandti,Hildebrandt's starling,55.8,,,,16.9
rothschildi,Bali mynah,95,,13,3,25
vulgaris,European starling,74,365,12,5,22.9
fasciata,Wrentit,14.7,365,15,3.5,12.6
atricapilla,Blackcap,16.7,365,,,13.8
borin,Garden warbler,24.6,365,,,24
communis,Whitethroat,17.7,365,,,8.9
curruca,Lesser whitethroat,11.4,365,,,9
melanocephala,Sardinian warbler,11.7,365,,,8.3
nisoria,Barred warbler,22.5,365,,,11.9
acutirostris,Marsh antwren,9.8,,,,16.2
caeruleus,Purple honeycreeper,12,,,,17
portoricensis,Puerto rican bullfinch,32.1,,,,15.6
speculiferus,Puerto Rican tanager,35.2,,,,4
torqueola,White-collared seedeater,8.7,,13,3,11.7
episcopus,Blue-grey tanager,35,,13,2,9.5
brunneicapillus,Cactus wren,38.9,,16,4,7.3
bewickii,Bewick's wren,9.8,365,14,6,8
ludovicianus,Carolina wren,17.5,365,14,4,9.2
aedon,House wren,9.7,365,13,7,9
troglodytes,Winter wren,9.1,365,15,5,7
bicknelli,Bicknell's thrush,27.5,365,12,4,11.9
fuscescens,Veery,28.8,365,11,4,10.1
guttatus,Hermit thrush,27.8,365,12,4,10.8
minimus,Grey-cheeked thrush,24.8,365,13,4,7.3
ustulatus,Swainson's thrush,27.9,365,12,4,11
mustelina,Wood thrush,43.3,365,13,3,10.2
naevius,Varied thrush,78.5,365,14,3,5.6
currucoides,Mountain bluebird,29.6,,13,5,9
mexicana,Western bluebird,26.5,365,14,5,8.7
sialis,Eastern bluebird,30.5,321,14,4,10.5
grayi,Clay-colored robin,74,,12,3,9.6
iliacus,Redwing,61.2,365,,,18.8
merula,Common blackbird and Eurasian blackbird,103.2,365,,,21.8
migratorius,American robin,75.5,365,13,3,17
philomelos,Song thrush,67.8,365,,,17.7
pilaris,Fieldfare,106,365,,,18.1
plumbeus,Red-legged thrush,75.3,,,,14.6
torquatus,Ring ouzel,109,365,,,9.1
viscivorus,Mistle thrush,117.5,365,,,21.2
imberbe,Northern beardless tyrannulet,7.4,,,2,5.8
cooperi,Olive-sided flycatcher,32.8,365,15,3,11.1
sordidulus,Western wood pewee,12.8,,14,3,8.1
virens,Eastern wood pewee,13.9,365,13,3,8.2
martinica,Caribbean elaenia,20.9,,,,13.6
alnorum,Alder flycatcher,13.5,365,13,3.5,9.1
difficilis,Pacific-slope flycatcher,11,365,14,3.5,6.9
hammondii,Hammond's flycatcher,10.4,,,,7
minimus,Least flycatcher,10,365,14,4,8
oberholseri,Dusky flycatcher,10.95,365,15,4,9
traillii,Willow flycatcher,12.6,365,13,3.5,11
virescens,Acadian flycatcher,12.6,365,13,3,12.1
antillarum,Puerto rican flycatcher,23.4,,,,13.6
cinerascens,Ash-throated flycatcher,28.5,,15,4,11.9
crinitus,Great crested flycatcher,32.1,365,14,5,14.9
tyrannulus,Brown-crested flycatcher,35,,,,11
rubinus,Vermilion flycatcher,12.87,365,14,3,5.5
nigricans,Black phoebe,18.25,,16,4,8
phoebe,Eastern phoebe,19.7,,16,5,10.3
tyrannus,Eastern kingbird,39.9,365,12,3,11.1
verticalis,Western kingbird,40.7,365,13,4,6.9
atricapilla,Black-capped vireo,8.65,,15,4,12
bellii,Bell's vireo,10,365,14,4,9.1
flavifrons,Yellow-throated vireo,18,365,15,4,6.1
gilvus,Warbling vireo,15,304,13,3.5,13.1
griseus,White-eyed vireo,12,365,13,4,10.9
huttoni,Hutton's vireo,11.3,,14,4,13.5
latimeri,Puerto rican vireo,12,,,,16.8
olivaceus,Red-eyed vireo,17,365,12,3.5,10.2
philadelphicus,Philadelphia vireo,12,,14,4,9.8
solitarius,Blue-headed vireo,16,365,12,4,7.4
japonicus,Japanese white-eye,11.25,365,11,3.5,5.1
lateralis,Silvereye,12.7,365,,,13
alba,Great egret,873.5,730,23,3,22.8
cinerea,Grey heron,1443,730,,,37.5
cocoi,Cocoi heron,1937.7,,,,24.4
goliath,Goliath heron,4468,,,,22.9
herodias,Great blue heron,1870,669,28,4,24.5
purpurea,Purple heron,1065.5,730,,,25.4
lentiginosus,American bittern,706,365,34,4,8.3
stellaris,Bittern,1324.5,730,,,11.3
ibis,Cattle egret,390,730,22,3,23
virescens,Green heron,175,730,20,4,11.6
caerulea,Little blue heron,339.5,365,23,4,13.9
garzetta,Little egret,312,365,,,22.3
rufescens,Reddish egret,614,1461,,3,22
thula,Snowy egret,314,365,18,4,22.8
tricolor,Tricolored heron,309.9,669,21,4,17.7
minutus,Little bittern,101,730,,,6.9
nycticorax,Black-crowned night heron,800,365,25,4,21.1
rex,Shoebill,5984,,,,35.7
crispus,Dalmatian pelican,9550,,,,35.3
erythrorhynchos,American white pelican,6129,1095,36,2,54
occidentalis,Brown pelican,3115.8,730,29,3,43
onocrotalus,Great white pelican,9520,,,,51
carunculata,Wattled ibis,,,,,12
hagedash,Hadada ibis,1238,,,,16
albus,White ibis,940,730,22,3,27.6
ruber,Scarlet ibis,615,,23,2,33.2
calvus,Bald ibis,,,,,15.3
eremita,Northern bald ibis,1202,,,,32.9
nippon,Crested ibis,1900,,,,25.8
infuscatus,Whispering ibis,559,,,,20
ajaja,Roseate spoonbill,1036.97,1095,23,3,28
alba,African spoonbill,1521,,,,17.9
flavipes,Yellow-billed spoonbill,1747.5,,,,28.6
leucorodia,Eurasian spoonbill,1868,1095,,,30.1
minor,Black-faced spoonbill,1228,,,,15
chihi,White-faced ibis,487.5,730,21,3.5,20.4
falcinellus,Glossy ibis,431.2,1095,21,3,26.8
ridgwayi,Puna ibis,584,,,,18
papillosa,Black ibis,,,,,30
caudatus,Buff-necked ibis,1726,,,,22
melanopis,Black-faced ibis,,,,,34.5
aethiopicus,Sacred ibis,1530,,,,37
melanocephalus,Black-headed ibis,,,,,28.2
molucca,Australian ibis,1806,,,,33.2
spinicollis,Straw-necked ibis,1351.5,,,,39.4
aethereus,Red-billed tropicbird,750,,44,1,17.6
rubricauda,Red-tailed tropicbird,593.2,274,45,1,32.7
minor,Lesser flamingo,1500,,,,41
chilensis,Chilean flamingo,2277,,,,36.7
roseus,Greater flamingo,2500,1825,30,1,44
auratus,Northern flicker,120,365,11,4,12.5
leucotos,White-backed woodpecker,117,,,,15.9
major,Great spotted woodpecker,75.1,365,,,12.7
medius,Middle spotted woodpecker,59,365,,,8
minor,Lesser spotted woodpecker,19.8,365,,,9.8
syriacus,Syrian woodpecker,76.8,,,,10.9
martius,Black woodpecker,321,365,,,14
pileatus,Pileated woodpecker,364,365,18,4,13
torquilla,Eurasian wryneck,35,365,,,10
carolinus,Red-bellied woodpecker,72.5,365,12,4,20.7
erythrocephalus,Red-headed woodpecker,75,365,14,5,10
formicivorus,Acorn woodpecker,79.7,766,14,4,17.2
uropygialis,Gila woodpecker,65,,14,4,11
borealis,Red-cockaded woodpecker,56,240,11,3,16.1
nuttallii,Nuttall's woodpecker,37.4,,,,7.8
pubescens,Downy woodpecker,25.6,365,12,5,11.9
tridactylus,Eurasian three-toed woodpecker and three-toed woodpecker,65.7,,,,11.2
villosus,Hairy woodpecker,62,365,14,4,15.9
viridis,Eurasian green woodpecker,176,365,,,15.2
nuchalis,Red-naped sapsucker,48.5,,,,4.9
ruber,Red-breasted sapsucker,55,,,,4.8
varius,Yellow-bellied sapsucker,45,365,12,5,7.8
toco,Toco toucan,540,,16,,16.2
occidentalis,Western grebe,1475.5,365,23,3,14
cristatus,Great crested grebe,738.7,730,,,19.2
grisegena,Red-necked grebe,1100,365,22,4.5,11
nigricollis,Eared grebe,392,730,21,3,13.1
ruficollis,Little grebe,174,365,,,17.5
epomophora,Royal albatross,9000,,,,58
exulans,Wandering albatross,7046.7,,,,50
immutabilis,Laysan albatross,3150,3068,64,1,65
irrorata,Waved albatross,3395,,,,40
nigripes,Black-footed albatross,2800,1825,65,1,42.1
chlororhynchos,Yellow-nosed albatross,3890,,,,37
chrysostoma,Grey-headed albatross,3753,,,,47.2
melanophris,Black-browed albatross,3232,,,,43.7
pelagicus,European storm petrel,25.2,1095,35,1,33.8
castro,Harcourt's storm petrel,42,1826,42,1,36
furcata,Fork-tailed storm petrel,45.2,1095,52,1,18
homochroa,Ashy storm-petrel,36.9,,,,31
leucorhoa,Leach's storm petrel,44.6,1826,41,1,36
bulwerii,Bulwer's petrel,99,1461,44,1,22.9
diomedea,Cory's shearwater,535,1095,,,24.8
capense,Cape petrel,408.6,,,,25
glacialis,Northern fulmar,908,2200,55,1,51
glacialoides,Southern fulmar,795,,,,45
giganteus,Southern giant petrel,3697.5,,,,47
nivea,Snow petrel,268,,,,46
parkinsoni,Black petrel,702.5,,,,17
alba,Phoenix petrel,259,,,,11.3
hypoleuca,Bonin Island petrel,168.6,,49,1,30.8
leucoptera,Gould's petrel,147.5,,,,20
sandwichensis,Hawaiian petrel,434,,,,13.1
carneipes,Flesh-footed shearwater,690,,,,30.2
griseus,Sooty shearwater,740,,,,34
pacificus,Wedge-tailed shearwater,337.8,1461,53,1,29
puffinus,Manx shearwater,434,1643,51,1,50.9
tenuirostris,Short-tailed shearwater,499.4,,53,1,39.9
fischeri,Fischer's lovebird,48.3,,,,12.6
lilianae,Nyasa loverbird,37.3,,,,19.2
pullarius,Red-headed lovebird,43,,,,18
taranta,Black-winged lovebird,57.5,,,,14.6
scapularis,Australian king parrot,232.5,,,,26.6
aestiva,Blue-fronted amazon,451,,,,49
albifrons,White-fronted parrot,215,,,,25.3
amazonica,Orange-winged amazon,370,,,,30
auropalliata,Yellow-naped parrot,,,,,49
autumnalis,Red-lored parrot,416,,,,27
festiva,Festive amazon,430,,,,24.5
finschi,Lilac-crowned parrot,302,,,,25.8
guildingii,St. Vincent parrot,646,,,,28
ochrocephala,Yellow-crowned parrot,430,,,,56
rhodocorytha,Red-browed parrot,,,,,44
hyacinthinus,Hyacinth macaw,1330,,,,38.8
leari,Lear's macaw,940,,,,38.3
erythropterus,Red-winged parrot,136,,,,24.4
ambiguus,Great green macaw,1300,,,,29
ararauna,Blue-and-yellow macaw,1030,,,,43
chloropterus,Red-and-green macaw,1220,,28,2.5,50.1
glaucogularis,Blue-throated macaw,784,,,,22
macao,Scarlet macaw,1040,,,,33
militaris,Military macaw,1134,,,,46
rubrogenys,Red-fronted macaw,470,,,,23
severus,Chestnut-fronted macaw,343,,,,28.5
acuticaudata,Blue-crowned parakeet,171,,,,31
auricapillus,Golden-capped parakeet,130,,,,20.9
canicularis,Orange-fronted parakeet,85,,,,16.2
erythrogenys,Red-masked parakeet,151,,,,26.2
holochlora,Green parakeet,138,,,,21.8
zonarius,Port Lincoln ringneck,150,,,,17.9
orbygnesius,Andean parakeet,43.1,,,,9.2
chiriri,Yellow-chevroned parakeet,61.6,,26,5,19
pyrrhoptera,Grey-cheeked parakeet,64,,,,11.3
sanctithomae,Tui parakeet,59,,,,13.2
