Species,Common name,Adult weight (g),Male maturity (days),Gestation/Incubation (days),Litter/Clutch size,Maximum longevity (yrs)
spelaea,Grotto salamander,,,,,9.9
wilderae,Blue ridge two-lined salamander,,1278,,32,8
palleucus,Tennessee cave salamander,,,,,18.5
porphyriticus,Spring salamander,,1460,,61,18.5
scutatum,Four-toed salamander,,912,,30,8.9
hubrichti,Red Hills salamander,,,,9,19.7
cinereus,Eastern red-backed salamander,0.5,730,,8,25
dunni,Dunn's salamander,,1095,70,9.4,11
elongatus,Del Norte salamander,,,,7,13.3
glutinosus,Northern slimy salamander,4.2,910,,21,20.1
jordani,Red-cheeked salamander,,1095,,,19.8
vehiculum,Western red-backed salamander,,,,,11.1
montanus,Mud salamander,,1095,,,15.1
ruber,Red salamander,,1460,75,80,20.1
italicus,Italian cave salamander,,1278,304,10,10.6
maculosus,Mudpuppy,,1825,50,68,34
anguinus,Olm,17,,133,35,102
asper,Pyrenean brook newt,,,,,26
ensicauda,Brown newt,,,,,17.9
pyrrhogaster,Japanese firebelly newt,,913,20,200,25
alpestris,Laureutis alpine salamander,,1095,,,15
boscai,Bosca's newt,,,,160,8
vulgaris,Smooth newt,,730,,180,20
perstriatus,Striped newt,,487,,,12.9
viridescens,Eastern newt,,2000,,,25
brevipes,Tsitou newt,,,,,6.5
chinensis,Asian newt,,,,,10.3
poireti,Algerian newt,,,,,14
waltl,Iberian ribbed newt,,,13,725,19.5
atra,Golden alpine salamander,,,,,17
salamandra,European fire salamander,19.1,,,,24
torosa,California newt,,1095,45,122,21.8
carnifex,Italian crested newt,,,,,11
cristatus,Northern crested newt,,,16,225,28
marmoratus,Marbled newt,,1460,,,25
verrucosus,Mandarin salamander,,1460,,43,11
intermedia,Lesser siren,,730,60,350,25.7
lacertina,Greater siren,,,,500,25
mexicanus,Mexican burrowing caecilian,,,,,13.8
compressicauda,Cayenne caecilian,,,,,4.9
kohtaoensis,Yellow-striped caecilian,,,,,7.3
cooperii,Cooper's hawk,526.64,730,24,4,20.3
gentilis,Northern goshawk,1044.2,730,33,3,22
nisus,Eurasian sparrowhawk,237.5,365,,,20.2
striatus,Sharp-shinned hawk,135,365,34,4,19.9
monachus,Cinereous vulture,9625,,,,39
adalberti,Spanish imperial eagle,3000,,,,44.5
audax,Wedge-tailed eagle,3466,,,,40
chrysaetos,Golden eagle,4800,1460,40,2,48
fasciata,Bonelli's eagle,2000,,,,20
heliaca,Eastern imperical eagle,3262,,,,56
nipalensis,Steppe eagle,2745.5,,,,41
pomarina,Lesser spotted eagle,1370,,,,26.1
rapax,Tawny eagle,1996.1,,,,40.3
indicus,Grey-faced buzzard,415,,,,8.5
buteo,Buzzard,1012,730,,,28.8
jamaicensis,Red-tailed hawk,1362,730,31,3,30.7
lagopus,Rough-legged hawk,980.64,730,29,5,18.8
lineatus,Red-shouldered hawk,607,365,33,3.5,22.4
platypterus,Broad-winged hawk,454,365,25,2.5,18.3
regalis,Ferruginous hawk,1500,730,32,3,23.7
solitarius,Hawaiian hawk,505,,38,1,17
swainsoni,Swainson's hawk,980.64,730,31,3,24.9
anthracinus,Common black hawk,837,730,38,1.5,13.5
gallicus,Short-toed eagle,1699.5,1095,,,17.3
aeruginosus,Swamp harrier,711.5,730,,,20.1
cyaneus,Northern harrier,392,365,31,4.4,17.1
macrourus,Pallid harrier,388.5,,,,13.5
pygargus,Montagu's harrier,315.5,730,,,16.3
caeruleus,Black-winged kite,260.5,,,,6
leucurus,White-tailed kite,280,,30,4.1,6
melanoleucus,Black-chested buzzard-eagle,2447.5,,,,42
barbatus,Bearded vulture,5070,,,,40
angolensis,Palm-nut vulture,1600,,,,27.1
africanus,White-backed vulture,5433,,,,19.7
fulvus,Eurasian griffon,7436,1460,,,41.4
albicilla,White-tailed sea-eagle,6696.5,1460,41,2,42
leucocephalus,Bald eagle,3175,1460,35,2,48
